Date,Game,Coop,james,john,robert,michael,william,david,richard,joseph,thomas,charles,chris,daniel,matt,tony
4/30/19,Sushi Go!,,0,0,,,0,,,0,1,,,,,
4/30/19,Sushi Go!,,0,0,,,0,,,1,1,,,,,
4/30/19,Sushi Go!,,0,0,,,1,,,0,0,,,,,
4/27/19,Love Letter,,0,0,0,1,0,0,,0,0,,,,,
4/26/19,Sagrada,,0,1,0,,,,,0,0,,,,,
4/24/19,Love Letter,,,,0,,0,0,,,1,,,,,
4/20/19,Love Letter,,1,0,0,,,0,,0,,,,,,
4/12/19,Coup: Rebellion,,0,1,0,0,0,0,,0,,,,,,
4/11/19,Love Letter,,,,,1,,0,,0,,,,,,
4/11/19,Love Letter,,,,,0,,0,,1,,,,,,
4/10/19,Love Letter,,0,1,,,,,,0,,,,,,
4/9/19,Sagrada,,0,1,,,,,,0,,,,,,
4/9/19,Twilight Struggle,,0,,,,,,,1,,,,,,
4/7/19,Twilight Imperium,,0,0,0,,1,,,,,,,,,
4/6/19,Saboteur,,0,0,1,0,0,1,,0,,,,,,
4/3/19,Love Letter,,,0,0,,,,,1,,,,,,
4/2/19,Resistance,,1,0,1,0,,,,0,,,,,,
4/2/19,Resistance,,0,1,1,0,,,,0,,,,,,
4/2/19,Resistance,,0,0,0,1,,,,1,,,,,,
4/1/19,Love Letter,,0,1,0,0,,0,,,,,,,,
4/1/19,Love Letter,,0,1,0,0,,0,,,,,,,,
3/30/19,Sushi Go!,,,1,,0,0,0,,0,,,,,,
3/30/19,Sushi Go!,,,0,,1,0,0,,0,,,,,,
3/30/19,Sushi Go!,,,0,,0,1,0,,0,,,,,,
3/30/19,Sushi Go!,,,0,,0,1,0,,0,,,,,,
3/28/19,Ticket to Ride,,0,,1,0,0,,,0,,,,,,
3/27/19,Love Letter,,0,,0,0,0,1,,0,,,,,,
3/22/19,Love Letter,,,0,0,0,1,,,0,,,,,,
3/21/19,Coup: Rebellion,,0,0,0,,0,0,0,1,,,,,,
3/20/19,Coup: Rebellion,,1,0,0,0,0,0,0,0,,,,,,
3/19/19,Love Letter,,0,0,0,0,1,,,0,,,,,,
3/16/19,Ticket to Ride,,1,,0,0,0,0,,0,,,,,,
3/14/19,Twilight Struggle,,0,,,,,,,1,,,,,,
3/13/19,Coup,,0,0,1,,0,,,0,,,,,,
3/13/19,Coup,,0,0,1,,0,,,0,,,,,,
3/13/19,Coup,,0,0,0,,0,,,1,,,,,,
3/12/19,Love Letter,,0,0,0,0,1,,,0,,,,,,
3/9/19,Love Letter,,0,0,1,,0,0,,,,,,,,
3/8/19,Saboteur,,0,0,1,0,0,,,0,,,,,,
3/4/19,Scythe,,1,,0,,,0,0,,,,,,,
3/2/19,Saboteur,,0,0,0,0,,1,,,,,,,,
2/27/19,Love Letter,,,0,0,1,0,0,,0,,,,,,
2/15/19,Resistance,,0,,1,1,0,1,,,,,,,,
2/15/19,Resistance,,0,,0,1,0,1,,,,,,,,
2/15/19,Resistance,,1,,0,0,1,1,,,,,,,,
2/14/19,Coup: Rebellion,,1,0,0,,0,,,0,,,,,,
2/14/19,Coup: Rebellion,,1,0,0,0,0,,,0,,,,,,
2/14/19,Coup: Rebellion,,0,0,1,0,0,,,0,,,,,,
2/14/19,Coup: Rebellion,,0,0,1,0,0,,,0,,,,,,
2/13/19,Love Letter,,0,,1,,,0,,0,,,,,,
2/13/19,Love Letter,,0,,0,,,1,,0,,,,,,
2/12/19,Love Letter,,1,0,0,0,0,0,0,,,,,,,
2/11/19,Twilight Imperium,,0,0,0,,0,1,0,,,,,,,
2/8/19,Love Letter,,0,0,0,0,0,,0,1,,,,,,
2/7/19,Coup: Rebellion,,0,0,1,0,0,0,,0,,,,,,
2/7/19,Coup: Rebellion,,0,0,0,1,0,0,,0,,,,,,
2/7/19,Coup: Rebellion,,0,0,1,0,0,0,,0,,,,,,
2/6/19,Tsuro,,0,0,0,0,1,0,,0,,,,,,
2/4/19,Love Letter,,1,0,0,0,0,0,,0,,,,,,
2/1/19,Coup: Rebellion,,0,0,0,1,,,0,0,,,,,,
2/1/19,Coup: Rebellion,,0,0,0,1,,,0,0,,,,,,
2/1/19,Coup: Rebellion,,0,1,0,0,0,0,,,,,,,,
1/31/19,Ticket to Ride,,0,0,1,0,0,0,,,,,,,,
1/28/19,Coup: Rebellion,,0,0,1,0,0,,0,,,,,,,
1/28/19,Coup: Rebellion,,0,0,0,1,0,,0,,,,,,,
1/28/19,Coup: Rebellion,,0,0,0,0,1,,0,,,,,,,
1/23/19,Love Letter,,0,0,0,,0,0,1,0,,,,,,
1/22/19,Tsuro,,1,0,,,,0,0,0,,,,,,
1/21/19,Love Letter,,0,,1,,0,0,,0,,,,,,
1/18/19,Love Letter,,0,1,0,,,0,0,0,,,,,,
1/17/19,Sagrada,,0,0,1,,,0,,0,,,,,,
1/16/19,Love Letter,,0,0,1,,0,0,,0,,,,,,
1/15/19,Sushi Go!,,0,0,0,,1,0,,,,,,,,
1/15/19,Sushi Go!,,0,1,0,,0,,,0,,,,,,
1/15/19,Sushi Go!,,0,0,0,,1,,,0,,,,,,
1/14/19,Scythe,,,0,0,,,1,0,,,,,,,
1/11/19,Love Letter,,0,0,0,0,,1,,,,,,,,
1/10/19,Tsuro,,1,0,0,0,0,0,0,0,,,,,,
1/10/19,Tsuro,,0,0,0,0,1,0,0,0,,,,,,
1/10/19,Tsuro,,0,0,0,0,1,0,0,0,,,,,,
1/8/19,Love Letter,,0,1,0,0,0,,,,,,,,,
1/7/19,Tsuro,,0,0,0,1,0,0,0,,,,,,,
1/7/19,Tsuro,,0,0,0,1,0,0,0,,,,,,,
1/7/19,Tsuro,,1,0,0,1,0,0,0,,,,,,,
1/4/19,Love Letter,,1,0,,,,0,,,,,,,,
1/4/19,Love Letter,,0,1,,,,0,,,,,,,,
12/18/18,Tsuro,,1,0,0,0,0,0,,,,,,,,
12/18/18,Tsuro,,0,0,1,0,0,0,,,,,,,,
12/17/18,Tsuro,,0,1,0,0,0,0,,,,,,,,
12/17/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/17/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/17/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/14/18,Eclipse,,0,0,0,1,0,0,,,,,,,,
12/10/18,Dixit,,1,0,0,0,0,0,,,,,,,,
12/6/18,Dixit,,0,0,1,0,0,0,,,,,,,,
12/6/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
12/6/18,Love Letter,,0,0,0,0,1,0,,,,,,,,
12/5/18,Love Letter,,0,0,0,0,1,0,,,,,,,,
12/5/18,Love Letter,,0,0,0,0,0,1,,,,,,,,
12/5/18,Love Letter,,0,0,0,0,0,1,,,,,,,,
12/4/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
12/3/18,Sagrada,,1,0,0,0,0,0,,,,,,,,
11/30/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/26/18,Love Letter,,0,0,0,1,0,0,,,,,,,,
11/26/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
11/20/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
11/20/18,Tsuro,,0,1,0,0,0,0,,,,,,,,
11/15/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/12/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/12/18,Love Letter,,0,0,0,1,0,0,,,,,,,,
11/11/18,Scythe,,0,0,1,0,0,0,,,,,,,,
11/9/18,7 Wonders,,0,0,0,1,0,0,,,,,,,,
11/8/18,Code Names,,1,0,0,1,0,1,,,,,,,,
11/7/18,Sushi Go!,,1,0,0,0,0,0,,,,,,,,
11/7/18,Sushi Go!,,0,1,0,0,0,0,,,,,,,,
11/7/18,Sushi Go!,,0,1,0,0,0,0,,,,,,,,
11/6/18,Carcassone,,1,0,0,0,0,0,,,,,,,,
